block_name,attribute,smspp_object,netcdf_component,netcdf_base_type,dimension,unit,default,status,description
SDDPBlock,block_type,Attribute,Attribute,str,-,-,,required,Type of the block
SDDPBlock,id,Attribute,Attribute,str,-,-,,optional,Id of the block
SDDPBlock,TimeHorizon,Dimension,Dimension,int,-,-,,required,Time horizon of the optimization problem
SDDPBlock,NumPolyhedralFunctionsPerSubBlock,Dimension,Dimension,int,-,-,1,optional,Number of PolyhedralFunction that are present in each sub-Block
SDDPBlock,NumSubBlocksPerStage,Dimension,Dimension,int,-,-,1,optional,Number of sub-Blocks that must be constructed for each stage
SDDPBlock,InitialState,Variable,Variable,double,-,-,,required,Initial state for the first stage problem
SDDPBlock,StateSize,Variable,Variable,int,-|TimeHorizon,-,,required,Size of the states at each stage; scalar or array indexed over TimeHorizon
SDDPBlock,AdmissibleState,Variable,Variable,double,-|StateSize|TimeHorizon-StateSize,-,,required,Admissible state for each stage; feasible final state for the problem at that stage
SDDPBlock,AbstractPath,Block,Group,AbstractPath,list,-,-,required,Vector of AbstractPath describing PolyhedralFunction for sub-Blocks
SDDPBlock,ScenarioSet,Block,Group,ScenarioSet,list,-,-,required,Description of the scenario set
SDDPBlock,StochasticBlock,Block,Group,StochasticBlock,list,-,-,optional,Default description for sub-Blocks; used when StochasticBlock_t is not provided or incomplete
SDDPBlock,StochasticBlock_*,Block,Group,StochasticBlock,list,-,-,optional,Description of the t-th sub-Block for each time stage t in {0...TimeHorizon-1}
